,Port_IDs,ROI (%),PnL,Sharpe Ratio,Maximum Drawdown (MDD),Win Rate,Win Positions,Total Positions
0,3672754654734989568,0.48036271344254,565.5477615,0.1875964434682402,91.49768999999999,0.44685466377440347,206.0,461.0
1,3733192481840423936,0.23246984281584368,2653.5918998999996,0.059480595680891625,1839.264,0.7811965811965812,457.0,585.0
2,3768170840939476993,8.779089104108492,243.66889897,0.42427745640312486,127.07864464,0.42857142857142855,6.0,14.0
3,3784403294629753856,0.3402794177502761,2493.6188980300003,0.10740967305531239,266.26740243,0.30293159609120524,1767.0,5833.0
4,3786761687746711808,0.2829797287388634,170.22019999000003,0.18571121166104435,101.91529777,0.43037974683544306,34.0,79.0
5,3788465932399412480,0.8236981344265734,13209.206073649999,0.1547594331354254,1102.77511837,0.4527002537151142,1249.0,2759.0
6,3818233536529843712,0.7593739817222082,5954.684400880001,0.14904455559973553,715.34958185,0.32216298552932215,423.0,1313.0
7,3819545518395756033,0.7297879740252762,976.85638996,0.22260007310996038,546.3248,0.3968253968253968,25.0,63.0
8,3826087012661391104,12.191384948855818,532.65697373,0.6796817803424966,38.15515513,0.5887850467289719,63.0,107.0
9,3858510226868015873,-0.030455832765874487,-237.66359218999997,-0.012158506290168758,558.182324,0.2722159730033746,242.0,889.0
10,3865845304835489536,0.7090796704872427,1360.1801148,0.24532788683577156,134.60515359,0.4951338199513382,407.0,822.0
11,3878631538480067329,0.4102628640501527,3908.22368975,0.15619146624850117,276.68489719,0.5046594982078854,1408.0,2790.0
12,3879821005658659073,2.042955740677332,4129.7635671200005,0.13119533229671054,785.36054243,0.325609756097561,267.0,820.0
13,3880920727367689984,-0.11702427815553484,-187.79979999000005,-0.04147035850742783,345.89499999000003,0.323943661971831,46.0,142.0
14,3886752488982104320,0.8971328360964667,7122.138782,0.22386351500308427,604.23169,0.7479201331114809,899.0,1202.0
15,3887577207880438784,0.21406736247791222,2374.46352174,0.08898625031232653,210.36466306,0.47747118407265104,2734.0,5726.0
16,3891020560590657281,1.7598382043059038,2805.66419055,0.43869030191670655,155.67399639,0.6690821256038647,277.0,414.0
17,3907081197088384000,1.0560862984416888,16986.45633284,0.2177182464689317,837.67649327,0.6094659579853202,2408.0,3951.0
18,3910887259807777281,0.8938570057065297,1795.15841001,0.11404505033914654,1967.8533760300002,0.23880597014925373,16.0,67.0
19,3910983669796782848,0.7207962393645154,6764.811724720001,0.3332500319471364,483.02337539,0.42812006319115326,271.0,633.0
20,3911997667197443328,0.621665092184959,605.72231024,0.17285573562279435,387.44224551,0.46875,30.0,64.0
21,3914654298562589441,0.29898693136104354,1265.0721161400004,0.045595883355659714,1115.67631283,0.4148936170212766,195.0,470.0
22,3919174299855478272,0.05469719629820403,1235.584488989999,0.010185177511930515,2708.80374592,0.47114556416882,547.0,1161.0
23,3923766029921022977,0.15937319671582031,773.24106059,0.07315496479801664,317.34424546,0.28640776699029125,354.0,1236.0
24,3925368433214965504,0.3676283927769186,6491.14426619,0.2754369116044686,264.55917215,0.32811334824757643,440.0,1341.0
25,3926423286576838657,0.1327323912654639,1270.79183061,0.049577078175450505,1328.2190125,0.3304535637149028,153.0,463.0
26,3930688517098515713,0.2969478877022023,1945.6242199499998,0.06538992353850182,2253.81279999,0.47761194029850745,128.0,268.0
27,3931992636670880512,0.5708592967670466,10169.88944223,0.051433078457972785,3009.9595974599997,0.403737658674189,2290.0,5672.0
28,3932103299427844097,0.21941525484605073,3848.924171410001,0.08422034945503858,573.1086916500001,0.30198412698412697,761.0,2520.0
29,3935808725185052672,0.11177904118509902,2069.95839914,0.06023974620842937,545.55650919,0.3368146214099217,516.0,1532.0
30,3936410995029308417,1.7916337945109921,10681.514000000001,0.30708700340599954,8037.0024,0.3157894736842105,6.0,19.0
31,3937714876784951296,0.08990876694063299,1114.4320958300011,0.016699751123509014,2754.7681848,0.3731958762886598,181.0,485.0
32,3939318616482048768,1.0121156625293055,9406.865606400002,0.2568896921852312,2133.3625110000003,0.5736842105263158,109.0,190.0
33,3939925275039085824,0.6582321395273599,2366.28078491,0.22671526997387323,104.95387382,0.36259214812274987,2115.0,5833.0
34,3941019213896463617,0.5045708590562188,4342.39401225,0.09392149779674035,4814.99844444,0.46601941747572817,48.0,103.0
35,3942630767220672256,0.5552925177562756,6575.783163980002,0.06957349604377087,927.1762822599999,0.38539254893706587,1831.0,4751.0
36,3943533600390906881,1.0563550844106964,2343.40360854,0.4290724124988192,80.93092141,0.5439814814814815,940.0,1728.0
37,3944088772635000577,0.7099133602191147,7471.568978740001,0.30187621451618546,91.55580979,0.4605059370160041,2676.0,5811.0
38,3944239644144231424,-0.12391030280365586,-1173.1670782,-0.024061795011747416,1256.74805832,0.2714987714987715,221.0,814.0
39,3944658614777849089,2.0835728712731334,2074.4499799600003,0.4074903672652918,506.27960804,0.4444444444444444,20.0,45.0
40,3946087913459823360,-0.04423071762872815,-32.299519310000065,-0.0045574491051724245,43.14682034,0.31782817414335374,1920.0,6041.0
41,3949214983441029120,0.3303208742900905,1300.20450704,0.05852927726002227,235.21008999999998,0.3710112359550562,1651.0,4450.0
42,3949329502284748801,0.8317228985412232,428.19925519000003,0.1392232204564377,123.16341788999999,0.18867924528301888,70.0,371.0
43,3951723256343550465,0.2054056922408625,5291.619585209999,0.06078630577938662,1286.0461195,0.35661080074487894,1149.0,3222.0
44,3952087967771302912,0.6101247746345034,1031.93187719,0.1789641828744374,410.49559663,0.35185185185185186,57.0,162.0
