Port_IDs,ROI (%),PnL,Sharpe Ratio,Maximum Drawdown (MDD),Win Rate,Win Positions,Total Positions,Weighted_Scores,Normalized MDD,Rank
4022641794255717633,1.8477650084617456,2173.16818573,0.558694906549925,7.29398505,0.4354090758529314,2629.0,6038.0,865.809576788173,-7.29398505,1.0
3944088772635000577,0.7099133602191147,7471.568978740001,0.30187621451618546,91.55580979,0.4605059370160041,2676.0,5811.0,830.6832971443503,-91.55580979,2.0
3887577207880438784,0.21406736247791222,2374.46352174,0.08898625031232653,210.36466306,0.47747118407265104,2734.0,5726.0,804.0831723473726,-210.36466306,3.0
3946087913459823360,-0.04423071762872815,-32.299519310000065,-0.0045574491051724245,43.14682034,0.31782817414335374,1920.0,6041.0,787.524443933482,-43.14682034,4.0
4021243448368889856,0.08627712911326897,1481.96238265,0.09517595501386003,162.59035416,0.3795334581985357,2229.0,5873.0,777.7941264764652,-162.59035416,5.0
3939925275039085824,0.6582321395273599,2366.28078491,0.22671526997387323,104.95387382,0.36259214812274987,2115.0,5833.0,774.0587331475249,-104.95387382,6.0
3784403294629753856,0.3402794177502761,2493.6188980300003,0.10740967305531239,266.26740243,0.30293159609120524,1767.0,5833.0,706.8966436513795,-266.26740243,7.0
3988187872032603905,0.3645682096742198,2651.5486819499997,0.09792778414746936,217.01047542999999,0.3291114575214341,1689.0,5132.0,638.8562264042687,-217.01047542999999,8.0
4011626972687000576,0.2827880147434488,5402.3694195299995,0.07852985802610568,988.52102839,0.3862081066853834,2201.0,5699.0,592.445299517891,-988.52102839,9.0
3949214983441029120,0.3303208742900905,1300.20450704,0.05852927726002227,235.21008999999998,0.3710112359550562,1651.0,4450.0,563.2099542775011,-235.21008999999998,10.0
3977078013600312321,0.1916593354843256,4667.771715090001,0.09651605424674087,408.2987789,0.34610184767913477,1536.0,4438.0,515.8670996674821,-408.2987789,11.0
3986814617275053313,0.859710323157076,15847.59634446,0.33414210770986713,511.65450005,0.7790560471976401,2641.0,3390.0,501.1636816856129,-511.65450005,12.0
3942630767220672256,0.5552925177562756,6575.783163980002,0.06957349604377087,927.1762822599999,0.38539254893706587,1831.0,4751.0,472.9667952605475,-927.1762822599999,13.0
3907081197088384000,1.0560862984416888,16986.45633284,0.2177182464689317,837.67649327,0.6094659579853202,2408.0,3951.0,468.7413554465792,-837.67649327,14.0
3999845462424248576,0.8741775543434961,5787.75513967,0.22758606490657315,292.35927949,0.436470953712333,1405.0,3219.0,404.23579101659254,-292.35927949,15.0
3993222640082269952,0.23567177999960806,1846.00858087,0.09164671115944992,273.02411761999997,0.46089291708627056,1373.0,2979.0,380.7528187576491,-273.02411761999997,16.0
3878631538480067329,0.4102628640501527,3908.22368975,0.15619146624850117,276.68489719,0.5046594982078854,1408.0,2790.0,364.6772433277013,-276.68489719,17.0
3999240873283311617,0.5443221148742845,42220.47216521,0.22963282111919475,1560.57407857,0.5209334248455731,2277.0,4371.0,352.9441619581678,-1560.57407857,18.0
3975304792994095360,0.38461840155299387,2514.9324451599996,0.2649482651866758,135.7296239,0.4330508474576271,1022.0,2360.0,311.27059872283945,-135.7296239,19.0
3976088733682659585,0.3985717252528603,5895.5641711,0.1425376959133727,456.46185132,0.4332116788321168,1187.0,2740.0,301.60249395599965,-456.46185132,20.0
